Date,Open,High,Low,Close,Adj Close,Volume
2020-06-04,11.850000,12.100000,11.650000,11.750000,6.807844,231556
2020-06-05,11.650000,12.000000,11.500000,12.000000,6.952692,128332
2020-06-08,11.950000,12.000000,11.750000,12.000000,6.952692,111974
2020-06-09,12.000000,12.000000,11.500000,11.600000,6.720936,114388
2020-06-10,11.550000,11.700000,11.450000,11.600000,6.720936,72640
2020-06-11,11.400000,11.650000,11.400000,11.400000,6.605057,124756
2020-06-12,11.150000,11.700000,11.150000,11.500000,6.662996,73062
2020-06-15,11.100000,11.587700,11.439900,11.400000,6.605057,41688
2020-06-16,11.550000,11.850000,11.500000,11.700000,6.778874,140916
2020-06-17,12.000000,12.150000,11.900000,12.000000,6.952692,132502
2020-06-18,12.000000,12.200000,11.950000,12.150000,7.039600,380683
2020-06-19,12.100000,12.350000,12.000000,12.200000,7.068570,257562
2020-06-22,12.150000,12.400000,12.150000,12.400000,7.184447,286271
2020-06-23,12.500000,13.450000,12.500000,13.350000,7.734870,392956
2020-06-24,13.450000,13.450000,13.250000,13.250000,7.676930,175802
2020-06-25,12.700000,13.150000,12.700000,13.150000,7.618991,145392
2020-06-26,13.150000,13.150000,12.650000,12.800000,7.416205,58667
2020-06-29,12.850000,12.850000,12.550000,12.650000,7.329295,174052
2020-06-30,12.600000,12.600000,12.400000,12.400000,7.184447,126463
2020-07-01,12.400000,12.800000,12.400000,12.800000,7.416205,555517
2020-07-02,13.200000,13.200000,12.700000,12.850000,7.445175,239526
2020-07-03,12.800000,12.800000,12.600000,12.600000,7.300326,71632
2020-07-06,12.600000,13.000000,12.450000,12.500000,7.242387,82038
2020-07-07,12.100000,12.500000,12.100000,12.450000,7.213418,33301
2020-07-08,12.500000,12.650000,12.350000,12.600000,7.300326,45182
2020-07-09,12.550000,12.750000,12.100000,12.300000,7.126509,127518
2020-07-10,12.400000,12.400000,12.150000,12.150000,7.039600,156978
2020-07-13,12.350000,12.350000,12.050000,12.250000,7.097539,158542
2020-07-14,12.100000,12.350000,11.950000,12.350000,7.155479,104590
2020-07-15,12.350000,12.400000,12.150000,12.150000,7.039600,90941
2020-07-16,12.250000,12.350000,12.100000,12.200000,7.068570,98534
2020-07-17,12.150000,12.300000,11.700000,11.850000,6.865783,236579
2020-07-20,11.800000,12.500000,11.800000,11.800000,6.836813,310428
2020-07-21,11.900000,12.200000,11.850000,12.100000,7.010632,496031
2020-07-22,10.950000,11.500000,10.600000,11.400000,7.632334,335374
2020-07-23,11.100000,11.200000,10.950000,11.000000,7.364534,60014
2020-07-24,10.950000,11.150000,10.900000,11.100000,7.431484,36703
2020-07-27,11.000000,11.250000,11.000000,11.100000,7.431484,195747
2020-07-28,11.400000,11.400000,11.000000,11.000000,7.364534,24421
2020-07-29,11.000000,11.150000,11.000000,11.100000,7.431484,64158
2020-07-30,11.150000,11.200000,10.900000,11.000000,7.364534,117278
2020-07-31,11.200000,11.200000,11.050000,11.100000,7.431484,54717
2020-08-03,11.100000,11.150000,11.050000,11.100000,7.431484,61873
2020-08-04,10.600000,11.150000,10.600000,10.900000,7.297584,62669
2020-08-05,10.900000,11.000000,10.850000,10.900000,7.297584,74168
2020-08-06,11.000000,11.000000,10.800000,10.850000,7.264108,46400
2020-08-07,10.850000,10.850000,10.700000,10.700000,7.163682,56344
2020-08-10,10.800000,10.950000,10.700000,10.750000,7.197157,62936
2020-08-11,10.900000,11.050000,10.850000,10.950000,7.331058,257423
2020-08-12,11.000000,11.050000,10.850000,10.950000,7.331058,79174
2020-08-13,11.000000,11.000000,10.800000,10.900000,7.297584,53626
2020-08-14,10.800000,11.000000,10.650000,10.650000,7.130207,37682
2020-08-17,10.900000,11.000000,10.800000,10.850000,7.264108,86609
2020-08-18,11.000000,11.050000,10.800000,10.850000,7.264108,88486
2020-08-19,10.900000,10.950000,10.800000,10.800000,7.230633,103202
2020-08-20,10.850000,10.900000,10.500000,10.900000,7.297584,119246
2020-08-21,10.850000,10.900000,10.800000,10.900000,7.297584,313028
2020-08-24,10.950000,10.950000,10.800000,10.800000,7.230633,46566
2020-08-25,10.750000,11.400000,10.750000,11.250000,7.531909,204577
2020-08-26,11.300000,11.700000,11.200000,11.700000,7.833185,134362
2020-08-27,11.800000,11.800000,11.600000,11.700000,7.833185,127192
2020-08-28,12.000000,12.000000,11.650000,11.700000,7.833185,118021
2020-09-01,11.600000,11.950000,11.400000,11.950000,8.000562,756766
2020-09-02,11.750000,11.800000,11.200000,11.200000,7.498435,30924
2020-09-03,11.600000,11.600000,11.200000,11.200000,7.498435,62951
2020-09-04,11.150000,11.300000,11.050000,11.200000,7.498435,98900
2020-09-07,11.400000,11.400000,11.150000,11.150000,7.464958,29529
2020-09-08,11.350000,11.350000,11.100000,11.200000,7.498435,34169
2020-09-09,11.000000,11.250000,11.000000,11.100000,7.431484,36870
2020-09-10,11.000000,11.350000,11.000000,11.350000,7.598859,30265
2020-09-11,11.350000,11.450000,11.350000,11.450000,7.665810,157261
2020-09-14,11.000000,11.500000,11.000000,11.500000,7.699285,119281
2020-09-15,11.500000,11.650000,11.500000,11.650000,7.799710,100496
2020-09-16,11.800000,11.800000,11.550000,11.550000,7.732760,63448
2020-09-17,11.550000,11.600000,11.350000,11.450000,7.665810,198884
2020-09-18,11.200000,11.550000,11.200000,11.350000,7.598859,7984
2020-09-21,11.150000,11.250000,11.100000,11.200000,7.498435,70584
2020-09-22,11.350000,11.400000,11.250000,11.350000,7.598859,15199
2020-09-23,11.400000,11.400000,11.100000,11.150000,7.464958,36770
2020-09-24,11.050000,11.050000,10.700000,11.000000,7.364534,83095
2020-09-25,10.950000,10.950000,10.600000,10.600000,7.096733,198610
2020-09-28,10.850000,10.850000,10.700000,10.850000,7.264108,55076
2020-09-29,10.750000,10.750000,10.600000,10.650000,7.130207,17317
2020-09-30,10.650000,10.750000,10.550000,10.700000,7.163682,32886
2020-10-01,10.650000,10.800000,10.600000,10.600000,7.096733,163991
2020-10-02,10.500000,10.550000,10.400000,10.500000,7.029782,74952
2020-10-05,10.500000,10.600000,10.500000,10.550000,7.063257,63836
2020-10-06,10.650000,10.650000,10.600000,10.600000,7.096733,130250
2020-10-07,11.050000,11.050000,10.400000,10.500000,7.029782,112903
2020-10-08,10.500000,10.550000,10.400000,10.500000,7.029782,67581
2020-10-09,10.650000,10.650000,10.450000,10.500000,7.029782,665717
2020-10-12,11.000000,11.000000,10.400000,10.400000,6.962831,224713
2020-10-13,10.350000,10.400000,10.100000,10.150000,6.795455,287530
2020-10-14,10.000000,10.150000,10.000000,10.050000,6.728506,215592
2020-10-15,10.100000,10.100000,9.940000,10.000000,6.695030,109953
2020-10-16,10.000000,10.000000,9.880000,9.940000,6.654860,54613
2020-10-19,10.500000,10.500000,9.920000,9.920000,6.641470,360372
2020-10-20,10.100000,10.300000,9.900000,10.150000,6.795455,182347
2020-10-21,10.100000,10.150000,9.940000,10.000000,6.695030,132008
2020-10-22,10.050000,10.100000,9.960000,10.000000,6.695030,202836
2020-10-23,10.000000,10.150000,10.000000,10.050000,6.728506,135870
2020-10-26,10.150000,10.150000,9.980000,10.050000,6.728506,264789
2020-10-27,10.000000,10.100000,9.960000,10.000000,6.695030,61871
2020-10-28,10.000000,10.100000,9.820000,9.900000,6.628080,298083
2020-10-29,9.780000,10.000000,9.740000,9.820000,6.574520,85315
2020-10-30,9.880000,10.100000,9.880000,9.980000,6.681640,202761
2020-11-02,9.880000,10.000000,9.880000,10.000000,6.695030,72784
2020-11-03,10.100000,10.300000,10.000000,10.200000,6.828930,170762
